Organization ID,Organization Name,Monitoring Location ID,Waterbody Name,Org Decimal Latitude,Org Latitude (DD MM SS.SSSS),Org Decimal Longitude,Org Longitude (DD MM SS.SSSS),DEP Latitude,DEP Longitude,County,WBID,Activity Type,Activity Start Date Time,Sample Collection Type,Sampling Agency Name,Activity Comments,DEP Analyte Name,Org Result Value,Org Result Unit,DEP Result Value Number,DEP Result Value Text,DEP Result Unit,Result Comments
21FLTLHR,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0006,WATSON BAYOU,30.1402,,-85.6351,,30.14019999,-85.6351,BAY,1136,Sample,03/23/2021 11:25,Direct Grab,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,,Chlorophyll a- corrected,3.3,ug/L,3.3,,ug/L,Precision data is not available for at least one component due to the small amount of analyte in the QC sample. Refer to QA report for available precision data.
21FLTLHR,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0006,WATSON BAYOU,30.1402,,-85.6351,,30.14019999,-85.6351,BAY,1136,Sample,03/23/2021 11:25,Direct Grab,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,,Phosphorus- Total,0.011,mg/L,0.011,,mg/L,
21FLTLHR,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0006,WATSON BAYOU,30.1402,,-85.6351,,30.14019999,-85.6351,BAY,1136,Sample,08/03/2021 10:15,Direct Grab,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,,Phosphorus- Total,0.023,mg/L,0.023,,mg/L,
21FLTLHR,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0007,FLAT CREEK,30.69165,,-85.58417,,30.69165,-85.58417,WASHINGTON,337,Sample,01/24/2022 13:30,Direct Grab,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,,Phosphorus- Total,0.02,mg/L,0.02,,mg/L,
21FLTLHR,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0007,FLAT CREEK,30.69165,,-85.58417,,30.69165,-85.58417,WASHINGTON,337,Sample,01/16/2020 10:15,Direct Grab,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,,Phosphorus- Total,0.02,mg/L,0.02,,mg/L,
21FLTLHR,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0021,NORTH BAY,30.2551,,-85.6267,,30.25509999,-85.6267,BAY,1061H,Sample,03/24/2021 11:10,Direct Grab,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,,Phosphorus- Total,0.01,mg/L,0.01,,mg/L,
21FLTLHR,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0021,NORTH BAY,30.2551,,-85.6267,,30.25509999,-85.6267,BAY,1061H,Sample,06/08/2021 10:30,Direct Grab,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,,Phosphorus- Total,0.01,mg/L,0.01,,mg/L,
21FLTLHR,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0047,,30.835698,,-85.449092,,30.83569799,-85.449092,JACKSON,235,Sample,01/24/2022 12:45,Direct Grab,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,,Chlorophyll a- corrected,2.8,ug/L,2.8,,ug/L,Precision data is not available for at least one component due to the small amount of analyte in the QC sample. Refer to QA report for available precision data.
21FLTLHR,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0047,,30.835698,,-85.449092,,30.83569799,-85.449092,JACKSON,235,Sample,01/24/2022 12:45,Direct Grab,FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,,Phosphorus- Total,0.033,mg/L,0.033,,mg/L,
21FLNWFD,NORTHWEST FLORIDA WATER MANAGEMENT DISTRICT,8730,UNKNOWN AQUIFER,30.45156,,-85.53208,,30.45155999,-85.53208,WASHINGTON,553Z,Sample,06/04/2024 11:50,Intermediate Grab,"JIM STIDHAM AND ASSOCIATES, INC.",,Phosphorus- Total,0.15,mg/L,0.15,,mg/L,
21FLKWAT,FLORIDA LAKEWATCH,BAY-LA-BAYOU-3,,30.1333,,-85.5065,,30.13329999,-85.5065,BAY,1127,Sample,06/29/2021 9:35,Direct Grab,ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.,,Nitrogen- Total,580,ug/L,0.58,,mg/L,
21FLKWAT,FLORIDA LAKEWATCH,BAY-LA-BAYOU-3,,30.1333,,-85.5065,,30.13329999,-85.5065,BAY,1127,Sample,08/22/2024 9:22,Direct Grab,ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.,,Phosphorus- Total,20,ug/L,0.02,,mg/L,
21FLKWAT,FLORIDA LAKEWATCH,BAY-LA-BAYOU-3,,30.1333,,-85.5065,,30.13329999,-85.5065,BAY,1127,Sample,12/21/2020 11:14,Direct Grab,ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.,,Nitrogen- Total,230,ug/L,0.23,,mg/L,
21FLKWAT,FLORIDA LAKEWATCH,BAY-LA-BAYOU-3,,30.1333,,-85.5065,,30.13329999,-85.5065,BAY,1127,Sample,06/29/2022 8:47,Direct Grab,ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.,,Nitrogen- Total,240,ug/L,0.24,,mg/L,
21FLKWAT,FLORIDA LAKEWATCH,BAY-LA-BAYOU-3,,30.1333,,-85.5065,,30.13329999,-85.5065,BAY,1127,Sample,10/31/2023 11:04,Direct Grab,ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.,,Phosphorus- Total,14,ug/L,0.014,,mg/L,
21FLKWAT,FLORIDA LAKEWATCH,WAL-JUNIPERW-2,,30.7746,,-86.1388,,30.77459999,-86.1388,WALTON,283,Sample,08/21/2019 11:15,Direct Grab,FLORIDA LAKEWATCH,,Phosphorus- Total,11,ug/L,0.011,,mg/L,
21FLCBA,CHOCTAWHATCHEE BASIN ALLIANCE,WAL-A RIVER-4-1,,30.4513888,,-86.0688888,,30.45130378,-86.06872883,WALTON,679,Sample,01/15/2020 10:10,Direct Grab,CHOCTAWHATCHEE BASIN ALLIANCE,,Nitrogen- Total,470,ug/L,0.47,,mg/L,
21FLCBA,CHOCTAWHATCHEE BASIN ALLIANCE,WAL-A RIVER-4-1,,30.4513888,,-86.0688888,,30.45130378,-86.06872883,WALTON,679,Sample,08/01/2024 10:00,Direct Grab,CHOCTAWHATCHEE BASIN ALLIANCE,,Phosphorus- Total,11,ug/L,0.011,,mg/L,
21FLCBA,CHOCTAWHATCHEE BASIN ALLIANCE,WAL-A RIVER-4-1,,30.4513888,,-86.0688888,,30.45130378,-86.06872883,WALTON,679,Sample,10/28/2024 10:24,Direct Grab,CHOCTAWHATCHEE BASIN ALLIANCE,,Nitrogen- Total,253,ug/L,0.253,,mg/L,
21FLCBA,CHOCTAWHATCHEE BASIN ALLIANCE,WAL-A RIVER-4-1,,30.4513888,,-86.0688888,,30.45130378,-86.06872883,WALTON,679,Sample,04/21/2023 15:02,Direct Grab,CHOCTAWHATCHEE BASIN ALLIANCE,,Phosphorus- Total,22,ug/L,0.022,,mg/L,
21FLCBA,CHOCTAWHATCHEE BASIN ALLIANCE,WAL-A RIVER-4-1,,30.4513888,,-86.0688888,,30.45130378,-86.06872883,WALTON,679,Sample,06/17/2019 9:10,Direct Grab,CHOCTAWHATCHEE BASIN ALLIANCE,,Chlorophyll a- corrected,6,ug/L,6,,ug/L,
21FLCBA,CHOCTAWHATCHEE BASIN ALLIANCE,WAL-A RIVER-4-1,,30.4513888,,-86.0688888,,30.45130378,-86.06872883,WALTON,679,Sample,03/12/2019 12:00,Direct Grab,CHOCTAWHATCHEE BASIN ALLIANCE,,Nitrogen- Total,460,ug/L,0.46,,mg/L,
21FLCBA,CHOCTAWHATCHEE BASIN ALLIANCE,WAL-A RIVER-4-1,,30.4513888,,-86.0688888,,30.45130378,-86.06872883,WALTON,679,Sample,03/12/2019 12:00,Direct Grab,CHOCTAWHATCHEE BASIN ALLIANCE,,Chlorophyll a- corrected,2,ug/L,2,,ug/L,
21FLCBA,CHOCTAWHATCHEE BASIN ALLIANCE,WAL-A RIVER-4-1,,30.4513888,,-86.0688888,,30.45130378,-86.06872883,WALTON,679,Sample,08/15/2019 10:20,Direct Grab,CHOCTAWHATCHEE BASIN ALLIANCE,,Nitrogen- Total,300,ug/L,0.3,,mg/L,
21FLCBA,CHOCTAWHATCHEE BASIN ALLIANCE,WAL-A RIVER-4-1,,30.4513888,,-86.0688888,,30.45130378,-86.06872883,WALTON,679,Sample,11/17/2020 9:15,Direct Grab,CHOCTAWHATCHEE BASIN ALLIANCE,,Phosphorus- Total,18,ug/L,0.018,,mg/L,
21FLCBA,CHOCTAWHATCHEE BASIN ALLIANCE,WAL-A RIVER-4-1,,30.4513888,,-86.0688888,,30.45130378,-86.06872883,WALTON,679,Sample,12/22/2020 12:15,Direct Grab,CHOCTAWHATCHEE BASIN ALLIANCE,,Chlorophyll a- corrected,1,ug/L,1,,ug/L,
21FLCBA,CHOCTAWHATCHEE BASIN ALLIANCE,WAL-A RIVER-4-1,,30.4513888,,-86.0688888,,30.45130378,-86.06872883,WALTON,679,Sample,01/13/2022 13:52,Direct Grab,CHOCTAWHATCHEE BASIN ALLIANCE,,Phosphorus- Total,8,ug/L,0.008,,mg/L,
21FLCBA,CHOCTAWHATCHEE BASIN ALLIANCE,WAL-A RIVER-4-1,,30.4513888,,-86.0688888,,30.45130378,-86.06872883,WALTON,679,Sample,01/17/2019 9:30,Direct Grab,CHOCTAWHATCHEE BASIN ALLIANCE,,Chlorophyll a- corrected,1,ug/L,1,,ug/L,
21FLCBA,CHOCTAWHATCHEE BASIN ALLIANCE,WAL-A RIVER-4-1,,30.4513888,,-86.0688888,,30.45130378,-86.06872883,WALTON,679,Sample,10/15/2019 9:30,Direct Grab,CHOCTAWHATCHEE BASIN ALLIANCE,,Phosphorus- Total,57,ug/L,0.057,,mg/L,Matrix Spike & or LCS Outside Expected
21FLPNS,FDEP NORTHWEST REGIONAL OPERATIONS CENTER,G3NW0454,PINE LOG CREEK,30.44827,,-85.8418,,30.44836942,-85.84174099,WASHINGTON,526,Sample,06/03/2021 10:30,Direct Grab,FDEP NORTHWEST REGIONAL OPERATIONS CENTER,,Phosphorus- Total,0.008,mg/L,0.008,,mg/L,
21FLKWAT,FLORIDA LAKEWATCH,BAY-EA-STBAY-2,EAST BAY,30.085,,-85.5267,,30.085,-85.5267,BAY,1061F,Sample,02/28/2022 11:31,Direct Grab,ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.,,Phosphorus- Total,16,ug/L,0.016,,mg/L,
21FLKWAT,FLORIDA LAKEWATCH,BAY-EA-STBAY-2,EAST BAY,30.085,,-85.5267,,30.085,-85.5267,BAY,1061F,Sample,02/29/2024 9:05,Direct Grab,ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.,,Phosphorus- Total,14,ug/L,0.014,,mg/L,
21FLWQA,FDEP WATERSHED ASSESSMENT SECTION,G3WA0013,,30.812154,,-85.454192,,30.812154,-85.454192,JACKSON,262A,Sample,12/07/2020 9:28,Direct Grab,FDEP WATERSHED ASSESSMENT SECTION,,Phosphorus- Total,0.052,mg/L,0.052,,mg/L,
