Organization_Name,Monitoring_Location_ID,Monitoring_Location_Name,DEP_Latitude,DEP_Longitude,Activity_Start_Date,DEP_Analyte_Name,DEP_Result_Value_Number,DEP_Result_Unit,Bay_Section_1
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,01/14/2019,Nitrogen- Total,0.48,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,12/10/2018,Nitrogen- Total,0.43,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,10/18/2019,Nitrogen- Total,1.95,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,03/16/2019,Nitrogen- Total,0.29,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,09/12/2019,Nitrogen- Total,0.43,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,08/09/2019,Nitrogen- Total,0.48,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,04/15/2019,Nitrogen- Total,0.69,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,06/11/2019,Nitrogen- Total,0.39,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,07/10/2019,Nitrogen- Total,0.42,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,02/10/2019,Nitrogen- Total,0.39,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,11/15/2019,Nitrogen- Total,0.32,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,10/15/2021,Nitrogen- Total,1.61,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,05/13/2020,Nitrogen- Total,0.42,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,01/08/2020,Nitrogen- Total,0.49,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,06/09/2020,Nitrogen- Total,0.43,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,03/06/2020,Nitrogen- Total,0.61,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,02/13/2020,Nitrogen- Total,0.43,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,12/15/2019,Nitrogen- Total,0.46,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,04/13/2020,Nitrogen- Total,0.44,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,07/09/2020,Nitrogen- Total,0.4,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,09/10/2020,Nitrogen- Total,0.45,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,02/11/2021,Nitrogen- Total,0.41,mg/L,Lullwater Lake
FLORIDA LAKEWATCH,BAY-LULLWATER-1,Bay-Lullwater-1,30.2222,-85.8798,12/29/2020,Nitrogen- Total,0.41,mg/L,Lullwater Lake
