Organization_Name,Monitoring_Location_ID,Monitoring_Location_Name,DEP_Latitude,DEP_Longitude,Activity_Start_Date,DEP_Analyte_Name,DEP_Result_Value_Number,DEP_Result_Unit,Bay_Section_1
FDAC,100,12SHA100,30.0403,-85.396,01/26/1992,Salinity,0,PSU,East Bay
FDAC,100,12SHA100,30.0403,-85.396,01/26/1992,Salinity,0,PSU,East Bay
FDAC,100,12SHA100,30.0403,-85.396,03/15/1992,Salinity,0,PSU,East Bay
FDAC,100,12SHA100,30.0403,-85.396,03/15/1992,Salinity,0,PSU,East Bay
FDAC,100,12SHA100,30.0403,-85.396,10/13/1994,Salinity,0,PSU,East Bay
FDAC,100,12SHA100,30.0403,-85.396,10/13/1994,Salinity,0,PSU,East Bay
FDAC,101,12SHA101,30.0449,-85.4127,10/13/1994,Salinity,0,PSU,East Bay
FDAC,101,12SHA101,30.0449,-85.4127,10/13/1994,Salinity,0,PSU,East Bay
FDAC,964,12SHA964,30.0589,-85.5313,01/25/2007,Salinity,0,PSU,East Bay
FDAC,964,12SHA964,30.0589,-85.5313,01/25/2007,Salinity,0,PSU,East Bay
FDAC,520,10SHA520,30.2354,-85.6959,03/15/1992,Salinity,0,PSU,North Bay
FDAC,520,10SHA520,30.2354,-85.6959,03/15/1992,Salinity,0,PSU,North Bay
FDAC,520,10SHA520,30.2551,-85.6378,12/05/1994,Salinity,0,PSU,North Bay
FDAC,520,10SHA520,30.2551,-85.6378,12/05/1994,Salinity,0,PSU,North Bay
FDAC,252,10SHA252,30.2551,-85.6378,07/06/1989,Salinity,0,PSU,North Bay
FDAC,252,10SHA252,30.2551,-85.6378,07/06/1989,Salinity,0,PSU,North Bay
FDAC,520,10SHA520,30.2556,-85.6453,03/08/1992,Salinity,0,PSU,North Bay
FDAC,520,10SHA520,30.2556,-85.6453,03/08/1992,Salinity,0,PSU,North Bay
FDAC,520,10SHA520,30.2611,-85.6072,01/26/1992,Salinity,0,PSU,North Bay
FDAC,520,10SHA520,30.2611,-85.6072,01/26/1992,Salinity,0,PSU,North Bay
FDAC,520,10SHA520,30.2645,-85.6641,06/12/1989,Salinity,0,PSU,North Bay
FDAC,520,10SHA520,30.2645,-85.6641,06/12/1989,Salinity,0,PSU,North Bay
FDEP NORTHWEST REGIONAL OPERATIONS CENTER,32030099,Rattlesnake Lake,30.45827999,-85.56722,06/02/2021,Salinity,0,PSU,Swift Creek Swamp
FDEP NORTHWEST REGIONAL OPERATIONS CENTER,32030099,Rattlesnake Lake,30.45827999,-85.56722,06/02/2021,Salinity,0,PSU,Swift Creek Swamp
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,G3TLHR0013,Rattlesnake Lake Center,30.4598,-85.5664,09/24/2019,Salinity,0,PSU,Swift Creek Swamp
