Station_Number,U of F Number,Location,Lat,Long
1,Lullwater -1,Lullwater 1,30.22016,-85.88295
1.1,North Bay-1,North Bay 1,30.263333,-85.616667
1.2,North Bay-2,North Bay 2,30.261667,-85.651667
1.3,North Bay-3,North Bay 3,30.253333,-85.685
1.4,North Bay-4,North Bay 4,30.226667,-85.71
1.7,Fannin Bayou-1,Lower Fannin Bayou,30.269167,-85.656167
1.72,Posten Bayou-1,Lower Posten Bayou,30.192833,-85.716667
1.74,Pretty Bayou-1,Lower Pretty Bayou,30.201717,-85.705883
1.76,Robinson Bayou-1,Lower Robinson Bayou,30.211,-85.699167
1.78,Mill Bayou-1,Lower Mill Bayou,30.250991,-85.609614
1.79,Upper Mill Bayou,Upper Mill Bayou,30.23473,-85.59832
1.84,Beatty Bayou-1,Lower Beatty Bayou,30.2535,-85.621
1.87,Upper Goose Bayou-1,Upper Goose Bayou,30.241283,-85.683467
1.88,Goose Bayou-1,Goose Bayou,30.224867,-85.69105
2,Lullwater -2,Lullwater 2,30.22205,-85.88021
2.1,West Bay-1,West Bay 1,30.245,-85.833333
2.2,West Bay-2,West Bay 2,30.268333,-85.808333
2.3,West Bay-3,West Bay 3,30.29,-85.766667
2.4,West Bay-4,West Bay 4,30.24,-85.741667
2.5,West Bay-5,West Bay 5,30.201667,-85.733333
2.6,West Bay-6,West Bay 6- FWC Phase 1 North,30.286779,-85.849751
2.72,Burnt Mill Upper,Upper Burnt Mill Creek (S side of Hwy 388 bridge),30.32855,-85.763
2.73,Burnt Mill Lower,Lower Burnt Mill Creek,30.301333,-85.76
2.74,Burnt Mill Creek Upper-2,"Burnt Mill Creek, Downstream of Morrell Branch",30.338417,-85.7672
2.86,Warren Bayou-1,Lower Warren Bayou,30.277333,-85.737
2.87,Crooked Upper,Upper Crooked Creek (S side of Hwy 388 bridge),30.3137,-85.811233
2.88,Crooked Lower,Lower Crooked Creek,30.290383,-85.805067
2.93,Crooked Creek Upper-2,Crooked Creek Boat Ramp (new Nov 2012),30.31525,-85.813183
3,Lullwater -3,Lullwater 3,30.22298,-85.88322
3.1,St. Andrew Bay-1,Navy Mooring Buoy,30.175,-85.736667
3.2,St. Andrew Bay-2,"Channel Marker ""5""",30.156667,-85.685
3.3,St. Andrew Bay-3,"Channel Marker ""20""",30.14,-85.658333
3.4,St. Andrew Bay-12,Davis Point,30.121632,-85.693432
3.6,St. Andrew Bay-6,Tyndall AFB Yacht Club,30.093333,-85.655
3.61,Massalina Bayou-1,Lower Massalina,30.151667,-85.658333
3.62,Johnson Bayou-1,Upper Johnson Bayou,30.162167,-85.670833
3.68,Watson Bayou-1,Lower Watson Bayou,30.136333,-85.634833
3.7,St. Andrew Bay-7,St. Andrew Bay (New Pass),30.12,-85.73
4.1,East Bay-1,Davis Point,30.038333,-85.486667
4.2,East Bay-2,"Channel Marker ""38""",30.085,-85.526667
4.25,Laird Bayou-1,Laird Bayou,30.118333,-85.526333
4.26,Laird Bayou-2,Laird Bayou,30.127667,-85.519
4.27,Laird Bayou-3,Laird Bayou,30.133333,-85.5065
4.3,East Bay-3,"Channel Marker ""43""",30.108333,-85.558333
4.4,East Bay-4,South Tyndall Bridge,30.098333,-85.61
4.5,East Bay-5,Military Point,30.125,-85.63
4.55,Martin-1,Lake Martin,30.14043,-85.607771
4.62,Callaway Bayou,Lower Callaway Bayou,30.125,-85.563333
4.64,Pitts Bayou-1,Lower Pitts Bayou,30.121333,-85.596667
4.66,Parker Bayou-1,Lower Parker Bayou,30.1255,-85.600833
5.1,Deerpoint-1,Deerpoint Lake 1,30.27059,-85.60018
5.2,Deerpoint-2,Deerpoint Lake 2,30.29,-85.591667
5.3,Deerpoint-3,Deerpoint Lake 3,30.306667,-85.58867
5.41,Marin-1,Lake Marin 1,30.2105,-85.65677
5.42,Marin-2,Lake Marin 2,30.210792,-85.654961
5.43,Marin-3,Lake Marin 3,30.20917,-85.65497
8.1,Powell-1,Lake Powell,30.27275,-85.9679
8.2,Powell-2,Lake Powell,30.274817,-85.9841
8.3,Powell-3,Lake Powell,30.28155,-85.994717
8.4,Powell-4,Lake Powell,30.272533,-85.985983
8.5,Powell Creek East-1,"Powell Creek East, Creek Mouth",30.266667,-85.955567
8.6,Powell Creek East-2,"Powell Creek East, Dead Tree",30.261833,-85.950083
8.7,Powell Creek East-3,"Powell Creek East, New Cypress",30.26177,-85.94775
8.8,Powell-5,"Lake Powell, County Park Swim Area",30.26845,-85.9753
8.9,Powell-6,"Lake Powell, Golf course",30.275367,-85.977783
9.1,Grand Lagoon-1,St. Thomas Square,30.16925,-85.7872
9.2,Grand Lagoon-2,Storm Water Pond,30.165,-85.778333
9.3,Grand Lagoon-3,Dolphin Street Pier,30.16463,-85.77818
9.4,Grand Lagoon-4,Lighthouse Marina,30.147667,-85.745333
9.5,Grand Lagoon-5,N. of State Park Pier,30.135,-85.728333
