Bay,TN_thresh,TP_thresh,CHL_thresh
Beatty Bayou,0.28,0.014,3.1
Burnt Mill Creek,0.35,0.017,3.8
Callaway Bayou,0.33,0.016,3.9
Crooked Creek,0.35,0.017,3.8
Deer Point Lake,930,30,6
East Bay,0.33,0.016,3.9
Fannin Bayou,0.28,0.014,3.1
Goose Bayou,0.28,0.014,3.1
Grand Lagoon,0.34,0.019,3.7
Johnson Bayou,0.34,0.019,3.7
Laird Bayou,0.33,0.016,3.9
Lake Marin,1910,90,20
Lake Martin,1910,90,20
Lake Powell,611,19,NA
Lullwater,1910,90,20
Massalina Bayou,0.34,0.019,3.7
Mill Bayou,0.28,0.014,3.1
North Bay,0.28,0.014,3.1
Parker Bayou,0.33,0.016,3.9
Pitts Bayou,0.33,0.016,3.9
Posten Bayou,0.34,0.019,3.7
Powell Creek,611,19,NA
Pretty Bayou,0.34,0.019,3.7
Robinson Bayou,0.34,0.019,3.7
St. Andrew Bay,0.34,0.019,3.7
Warren Bayou,0.35,0.017,3.8
Watson Bayou,0.34,0.019,3.7
West Bay,0.35,0.017,3.8
St. Joseph Bay,0.34,0.021,3.8
